id,station_name,stream_url,description,logo,genres,language,website,facebook,twitter,wikipedia,contact_address,contact_phone,contact_email,contact_additional,country_code
1,"Radio Algerienne - Chaine 3",http://ch3.ice.infomaniak.ch/ch3-64.aac,"Écoutez Alger Ch 3 252 AM via radioalgerie.eu. Avec un simple clic, vous pouvez écouter les meilleures stations de radio en direct de Algérie.",https://cdn.onlineradiobox.com/img/logo/0/20470.v3.png,"news,talk,sports",Arabic,http://www.radioalgerie.dz/news/ar/,https://www.facebook.com/chaineIII,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: Villa trees - 12 Street, William Shakespeare (Almoradip) - Algeria","Phone: 021697144","Email: chaine3@radioalgerie.dz",,dz
2,"Radio Adrar - إذاعة أدرار الجهوية",http://adrar.ice.infomaniak.ch/01.aac,"قبل سنة1995 عانت ولاية أدرار عزلة إعلامية قاتلة تجلت في انعدام الجرائد وصعوبة التقاط برامج التلفزيون والإذاعة الوطنيتين واقتصار البث الإذاعي على برامج القناة الأولى فقط وإذاعة الساورة ببشار ،حيث كانت هذه الأخيرة المتنفس الوحيد لسكان الإقليم وكان صدى أدرار يصل من خلال المراسلين من أبناء المنطقة وهم السادة: محمد نويفدي واحمد جولي وعبد الناصر طبق وعبد الرحمن طاهري، بالإضافة الى مراسلي وكالة الأنباء الجزائرية وجريدتي الخبر والجمهورية.",https://cdn.onlineradiobox.com/img/logo/7/43647.v5.png,"news,talk,arabic,entertainment",Arabic,http://www.radioalgerie.dz/,https://www.facebook.com/radioadrar.dz/,https://twitter.com/radioadrar,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: L.P 309 Adrar, Algeria Adrar","Phone: +213 49 36 89 06","Email:  radioalgerie@gmail.com","فاكس 021230823/25https://www.instagram.com/radioadrar/",dz
3,"Radio Dzair Raina",http://188.165.242.25:8020/stream,"Votre Radio Algerienne Sur Internet.Radio Dzair Raina is a channel on the internet radio station Radio Dzair from Algiers, Algeria, providing Algerian music.",https://cdn.onlineradiobox.com/img/logo/1/20421.v3.png,"folk,african",Arabic,http://radio-dzair.com/,,,,"Address:  67 Boulevard Krim Belkacem – Telemly - Alger","Phone: 072.30.71.70","Email:  contact@radio-dzair.com",,dz
4,"Radio Coran",http://dedi.radio-coran.net:8000/livehq.mp3,"مرحبا بكم في إذاعة القرآن الكريم.Radio Coran AM 1422 is a Algerian radio station broadcasting from Algiers, Algeria, Station Airs Religious and Arabic programming.",https://cdn.onlineradiobox.com/img/logo/6/20396.v5.png,islamic,Arabic,http://www.radioalgerie.dz/coran/,,,,,,"Email: contact@radio-coran.net",,dz
5,"Radio France Maghreb 2",https://francemaghreb2.ice.infomaniak.ch/francemaghreb2-high.mp3,"Ensemble toutes générations sur France Maghreb 2 ! L&#39;info, le service, la musique et le divertissement sont les points fort de France Maghreb2",https://cdn.onlineradiobox.com/img/logo/3/43933.v1.png,"pop,news,top40",French,http://www.francemaghreb2.fr/,https://www.facebook.com/FRANCEMAGHREB2,https://twitter.com/FMAGHREB2,,,,,,dz
6,"Radio El Bahdja",http://elbahdja.ice.infomaniak.ch/elbahdja-32.aac,"راديو البهجة هي محطة مستقلة للجيل على الإنترنت ، تربط بين أولئك الذين لديهم بالفعل علاقة قوية مع برج البحري ، الجزائر.",https://cdn.onlineradiobox.com/img/logo/7/72647.v4.png,"pop,top40",Arabic,http://www.radioalgerie.dz/,https://www.facebook.com/Radio-El-Bahdja-FM-239397829331/,,,"Address: 21, Boulevard des Martyrs Algiers, Algeria","Phone: 00-213-21662323","Email: info@algerian-radio.dz",,dz
7,"Radio Maghreb Emergent",http://188.165.242.25:8560/stream/;,"Journal économique en ligne couvrant la région du Maghreb.",https://cdn.onlineradiobox.com/img/logo/3/20433.png,"pop,folk,entertainment",Arabic,http://maghrebemergent.info/,https://www.facebook.com/maghrebemergentjournal,https://twitter.com/maghrebemergent,,,,,,dz
8,"Radio Algerie Internationale",http://rai.ice.infomaniak.ch/rai-64.aac,"Radio Algeria - radio algerie international",https://cdn.onlineradiobox.com/img/logo/5/20435.v1.png,"news,talk",Arabic,http://www.algerieinfo.biz/radio-algerienne/radio-algerie-international.html,,https://twitter.com/radioalgerie,,"Address: 21, Boulevard des martyrs Alger.","Phone: 021 69 23 32",,,dz
9,"Radio Chaabi Dialna",http://mzalouk.free.fr/radio/mp3/ABDELKADER_CHAOU_YALHADRA.mp3,"Radio Chaabi: Chaabi, Andalou, Hawzi, Tous les grands maitres de la chanson Algerienne",https://cdn.onlineradiobox.com/img/logo/1/43931.png,chanson,Arabic,http://www.webchaabi.com/,https://www.facebook.com/radiochaabidialna,,,,,,,dz
10,"Wahrai Radio",http://radio-dzair.net:8000/;?1483274849748,"Radio WahRai est une station du Bouquet Dounia FM Webradio Algérien
C&#39;est la 1ere Webradio Algérienne avec 7 bouquets de la musique algérienne : Radio wahrai, Chaabi, Staifi, Charki,Oriental et Kabyle",https://cdn.onlineradiobox.com/img/logo/6/43926.png,arabic,French,,,,,,,,,dz
11,"Radio Soleil",http://radiosoleil.ice.infomaniak.ch/radiosoleil-96.mp3,"Radio Soleil est une station de radio française qui depuis 35 ans, accompagne les immigrés dans leur intégration ; la station invite régulièrement les auditeurs à donner leur opinions à propos des sujets d&#39;actualité . Radio Soleil a été créée le 14 juin 1981",https://cdn.onlineradiobox.com/img/logo/4/43934.v4.png,"news,folk",Arabic,http://www.radio-soleil.com/,https://www.facebook.com/RadioSoleil,https://twitter.com/RADIOSOLEILFR,https://fr.wikipedia.org/wiki/Radio_Soleil,,,,,dz
12,"Radio Saoura Bechar",http://bechar.ice.infomaniak.ch/08.aac,"Radio Regionale de Bechar.
تعد الإذاعة الجزائرية من بشار أول إذاعة محلية أنشئت في تاريخ الجزائر المستقلة كان ذلك في 20 أبريل 1991",https://cdn.onlineradiobox.com/img/logo/7/20397.v1.png,"news,talk,arabic",Arabic,http://www.radiobechar.com/,https://www.facebook.com/radiobechar/,,,,,,,dz
13,"Radio Culture - الإذاعة الثقافيه",http://culture.ice.infomaniak.ch/culture.aac,"Radio Culture Algerie est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Culture Algerie est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/0/43930.v2.png,"news,culture",Arabic,http://www.radioalgerie.dz/,https://www.facebook.com/radioalgerie,https://twitter.com/radioalgerie‎,https://fr.wikipedia.org/wiki/Radio_algerienne,,,,,dz
14,"Radio Souk Ahras - سوق أهراس",http://soukahras.ice.infomaniak.ch/41.aac,"Radio Souk Ahras est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/0/43710.v6.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/Radio-Souk-Ahras-Les-Informations-353694897984364,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: نهج مسوس حامد الفيبور سابقا سوق اهراس, 410000","Phone: 037 32 95 95",,,dz
